text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
aiming a guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming bombed,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming bomber,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming bombing,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming bombs,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming guns,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aiming guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims a gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims a gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims a guns,en,,Disney;Weapons,medium,false,false,true,nonEmbeddable,false,true,false,,
aims a guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims bombed,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims bomber,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims bombing,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims bombs,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims gun,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims gunn,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims guns,en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
aims guns',en,,Disney;Weapons,mild,false,false,true,nonEmbeddable,false,true,false,,
airhead,en,,Bullying;Vulgarity,mild,false,false,true,nonEmbeddable,true,true,false,"A silly, vacuous, unintelligent person.",
aitkin,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Minnesota.,
aitr,en,,Grooming,medium,false,false,true,exactMatch,false,true,false,"Short for ""adult in the room""",
ajax,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,City in Canadá,
ajo,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Arizona.,
ak 47,da,,Weapons,medium,false,false,false,embeddable,true,true,false,ak 47 weapon,
