text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
abuse,en,,Alcohol-Drug;Harm-Abuse,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,To use drugs consistently and without the ability to stop.,
abuser,en,,Alcohol-Drug;Harm-Abuse,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,Someone who abuses drugs/living things.,
abusive,en,,Alcohol-Drug;Harm-Abuse,medium,TRUE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,To use drugs consistently and without the ability to stop.,
abusively,en,,Alcohol-Drug,medium,FALSE,TRUE,TRUE,embeddable,FALSE,TRUE,FALSE,To use drugs consistently and without the ability to stop.,
abusiveness,en,,Alcohol-Drug,medium,FALSE,FALSE,FALSE,embeddable,TRUE,FALSE,FALSE,To use drugs consistently and without the ability to stop.,
abuso,pt,,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
acabada,es,,Disney,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
acabar,es,acabar adentro;acabar afuera;acabar en mi;acabar en ti,Disney,mild,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
acabemos,es,acabemos;acabemos adentro;acabemos juntos,Sexual,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,TRUE,,
acariciar,es,acariaciame,Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
acc and pss,en,,Account;Disney;PII,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,account and password,
acc and pw,en,,Account;Disney;PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,account and password,
account,en,accout;acct;acount,Account;PII,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,act
account info,en,accout info;acct info;acount info,Account;PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
accouple,fr,,Sexual,medium,TRUE,TRUE,TRUE,embeddable,TRUE,TRUE,TRUE,,
ace book,en,,Disney;PII,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,Facebook,
ace hall,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,asshole,
ace up,en,,Disney;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,ass up,
ace whole,en,,Disney;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,asshole,
acender,pt,acendeu;acendi,Alcohol-Drug,mild,FALSE,FALSE,TRUE,exactMatch,FALSE,TRUE,TRUE,,
ache hunt,en,,Disney;Sexual;Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,a cunt,
acid,de,,Alcohol-Drug,medium,FALSE,FALSE,TRUE,embeddable,TRUE,TRUE,FALSE,,
acid,en,acidhead,Alcohol-Drug,medium,FALSE,FALSE,TRUE,nonEmbeddable,TRUE,TRUE,FALSE,"1. A hallucinogenic drug.
2. Someone who abuses the drug acid.",
acima de seu,pt,,Vulgarity,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,FALSE,,
acosar,es,,Bullying;Sexual,medium,FALSE,FALSE,TRUE,embeddable,FALSE,TRUE,TRUE,,
acosta,es,,Names-Last,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
across your,en,,Disney;Sexual,mild,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
acu̱a,es,,Names-Last,medium,FALSE,FALSE,FALSE,embeddable,FALSE,FALSE,FALSE,,
adair,es,,Places,medium,FALSE,FALSE,FALSE,nonEmbeddable,FALSE,FALSE,FALSE,Ciudad de Missouri.,
adak,es,,Places,medium,FALSE,FALSE,FALSE,nonEmbeddable,FALSE,FALSE,FALSE,Ciudad de Alaska.,
